"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
5,75,0.02285632
5,78,0.02395894
5,81,0.02497158
5,84,0.02589467
5,87,0.02673008
5,90,0.02748085
5,93,0.02815093
5,96,0.02874495
5,99,0.02926801
5,102,0.02972552
5,105,0.03012301
5,108,0.03046603
5,111,0.03076001
5,114,0.03101019
5,117,0.03122157
5,120,0.0313988
5,135,0.03191104
5,150,0.03206293
5,165,0.03206361
5,180,0.03199996
5,195,0.03190052
5,210,0.03177251
5,225,0.03161797
5,240,0.03143912
5,255,0.03123921
5,270,0.03102215
5,285,0.03079198
5,300,0.03055247
5,315,0.03030701
5,330,0.03005847
5,345,0.02980928
5,360,0.02956144
5,375,0.02931657
5,390,0.029076
5,405,0.02884079
5,420,0.02861176
5,435,0.02838957
5,450,0.0281747
5,465,0.02796751
5,480,0.02776825
5,495,0.02757708
5,510,0.02739408
5,525,0.02721927
5,540,0.0270526
5,555,0.026894
5,570,0.02674333
5,585,0.02660044
5,600,0.02646515
5,615,0.02633726
5,630,0.02621654
5,645,0.02610276
5,660,0.02599567
5,675,0.025895
5,690,0.02580051
5,705,0.02571191
5,720,0.02562894
5,735,0.02555132
5,750,0.02547877
5,765,0.02541103
5,780,0.02534781
5,795,0.02528886
5,810,0.02523389
5,825,0.02518265
5,840,0.02513487
5,855,0.02509031
5,870,0.02504871
5,885,0.02500983
5,900,0.02497343
5,915,0.02493928
5,930,0.02490716
5,945,0.02487683
5,960,0.0248481
5,975,0.02482076
5,990,0.0247946
5,1005,0.02476943
5,1020,0.02474508
5,1035,0.02472135
5,1050,0.02469808
5,1065,0.0246751
5,1080,0.02465226
5,1095,0.0246294
5,1110,0.02460638
5,1125,0.02458305
5,1140,0.02455929
5,1155,0.02453498
5,1170,0.02450998
5,1185,0.02448419
5,1200,0.0244575
5,1215,0.02442981
5,1230,0.02440103
5,1245,0.02437106
5,1260,0.02433981
5,1275,0.02430722
5,1290,0.02427319
5,1305,0.02423768
5,1320,0.02420061
5,1335,0.02416192
5,1350,0.02412156
5,1365,0.02407948
5,1380,0.02403563
5,1395,0.02398998
5,1410,0.02394248
5,1425,0.0238931
5,1440,0.02384181
6,0,0
6,3,7.498919E-07
6,6,3.365042E-05
6,9,0.0002532399
6,12,0.0009883521
6,15,0.002714519
6,18,0.005952934
6,21,0.0111408
6,24,0.01853258
6,27,0.02816438
6,30,0.03987595
6,33,0.05336487
6,36,0.06824699
6,39,0.08410677
6,42,0.1005347
6,45,0.1171516
6,48,0.133622
6,51,0.1496617
6,54,0.1650388
6,57,0.179572
6,60,0.1931274
6,63,0.2056131
6,66,0.2169742
6,69,0.2271873
6,72,0.2362545
6,75,0.2441994
6,78,0.2510616
6,81,0.2568932
6,84,0.2617554
6,87,0.2657149
6,90,0.2688422
6,93,0.2712088
6,96,0.2728863
6,99,0.2739446
6,102,0.2744512
6,105,0.2744703
6,108,0.2740625
6,111,0.2732843
6,114,0.2721882
6,117,0.2708221
