"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
6,855,0.1920759
6,870,0.1843708
6,885,0.1770384
6,900,0.1700599
6,915,0.1634172
6,930,0.1570932
6,945,0.1510716
6,960,0.145337
6,975,0.1398748
6,990,0.1346712
6,1005,0.1297128
6,1020,0.1249872
6,1035,0.1204827
6,1050,0.1161878
6,1065,0.1120919
6,1080,0.1081849
6,1095,0.1044572
6,1110,0.1008996
6,1125,0.09750353
6,1140,0.09426073
6,1155,0.09116343
6,1170,0.08820423
6,1185,0.08537615
6,1200,0.08267252
6,1215,0.08008706
6,1230,0.07761377
6,1245,0.075247
6,1260,0.07298138
6,1275,0.0708118
6,1290,0.06873343
6,1305,0.0667417
6,1320,0.06483226
6,1335,0.06300098
6,1350,0.06124398
6,1365,0.05955755
6,1380,0.05793817
6,1395,0.05638253
6,1410,0.05488747
6,1425,0.05345
6,1440,0.05206731
7,0,0
7,3,1.470743E-05
7,6,0.000521639
7,9,0.003399529
7,12,0.01191085
7,15,0.02997645
7,18,0.06126091
7,21,0.1083381
7,24,0.1720423
7,27,0.251177
7,30,0.3427314
7,33,0.4425383
7,36,0.5460764
7,39,0.6491055
7,42,0.7480412
7,45,0.840093
7,48,0.9232652
7,51,0.9962846
7,54,1.05849
7,57,1.109731
7,60,1.150258
7,63,1.180627
7,66,1.201605
7,69,1.2141
7,72,1.219095
7,75,1.217597
7,78,1.210599
7,81,1.19905
7,84,1.183832
7,87,1.165749
7,90,1.145522
7,93,1.123784
7,96,1.101084
7,99,1.077883
7,102,1.054567
7,105,1.03145
7,108,1.008786
7,111,0.986771
7,114,0.9655505
7,117,0.9452288
7,120,0.9258759
7,135,0.8443087
7,150,0.7857644
7,165,0.7443033
7,180,0.714003
7,195,0.6903365
7,210,0.670065
7,225,0.6506177
7,240,0.6291258
7,255,0.6006218
7,270,0.5564122
7,285,0.5004218
7,300,0.4574577
7,315,0.4274381
7,330,0.4028694
7,345,0.3809725
7,360,0.3608955
7,375,0.3422886
7,390,0.3249508
7,405,0.3087417
7,420,0.2935539
7,435,0.2792997
7,450,0.2659059
7,465,0.2533088
7,480,0.2414525
7,495,0.2302866
7,510,0.2197659
7,525,0.2098487
7,540,0.2004969
7,555,0.191675
7,570,0.1833502
7,585,0.1754921
7,600,0.168072
7,615,0.1610634
7,630,0.1544412
7,645,0.1481822
7,660,0.1422643
7,675,0.136667
7,690,0.131371
7,705,0.1263582
7,720,0.1216115
7,735,0.117115
7,750,0.1128535
7,765,0.1088131
7,780,0.1049804
7,795,0.1013431
7,810,0.09788928
7,825,0.09460811
7,840,0.09148923
7,855,0.08852293
7,870,0.08570014
7,885,0.08301229
7,900,0.08045137
7,915,0.07800984
7,930,0.07568063
7,945,0.07345711
7,960,0.07133307
7,975,0.06930263
7,990,0.06736034
7,1005,0.06550105
7,1020,0.06371994
7,1035,0.06201248
7,1050,0.06037444
7,1065,0.05880183
7,1080,0.05729093
7,1095,0.05583825
7,1110,0.05444051
7,1125,0.05309463
7,1140,0.05179774
7,1155,0.05054715
7,1170,0.04934033
7,1185,0.0481749
7,1200,0.04704867
7,1215,0.04595953
7,1230,0.04490556
7,1245,0.04388492
7,1260,0.04289591
7,1275,0.04193693
7,1290,0.04100649
7,1305,0.04010317
7,1320,0.03922566
7,1335,0.03837274
7,1350,0.03754324
7,1365,0.0367361
7,1380,0.03595028
7,1395,0.03518486
7,1410,0.03443893
7,1425,0.03371166
7,1440,0.03300227
8,0,0
8,3,2.801137E-06
8,6,0.0001063327
8,9,0.0006807819
8,12,0.00230405
8,15,0.005628911
8,18,0.01128311
8,21,0.01981314
8,24,0.03166195
8,27,0.04716011
8,30,0.06651575
8,33,0.0898008
8,36,0.1169369
8,39,0.1476889
8,42,0.1816705
8,45,0.2183658
8,48,0.2571647
8,51,0.2974067
8,54,0.3384267
8,57,0.3795977
8,60,0.4203604
8,63,0.4602394
8,66,0.4988482
8,69,0.5358871
8,72,0.5711354
8,75,0.6044385
