"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
2,5235,0.03088451
2,5250,0.03039714
2,5265,0.02991741
2,5280,0.02944521
2,5295,0.02898043
2,5310,0.02852295
2,5325,0.02807266
2,5340,0.02762945
2,5355,0.0271932
2,5370,0.02676381
2,5385,0.02634118
2,5400,0.02592521
2,5415,0.02551578
2,5430,0.02511279
2,5445,0.02471616
2,5460,0.02432578
2,5475,0.02394155
2,5490,0.02356338
2,5505,0.02319117
2,5520,0.02282484
2,5535,0.02246429
2,5550,0.02210943
2,5565,0.02176017
2,5580,0.02141643
2,5595,0.02107812
2,5610,0.02074517
2,5625,0.02041747
2,5640,0.02009496
2,5655,0.01977755
2,5670,0.01946516
2,5685,0.01915772
2,5700,0.01885514
2,5715,0.01855736
2,5730,0.01826429
2,5745,0.01797587
2,5760,0.01769202
2,5775,0.01741267
2,5790,0.01713775
2,5805,0.01686719
2,5820,0.01660093
2,5835,0.01633889
2,5850,0.01608101
2,5865,0.01582722
2,5880,0.01557747
2,5895,0.01533168
2,5910,0.0150898
2,5925,0.01485176
2,5940,0.01461751
2,5955,0.01438698
2,5970,0.01416011
2,5985,0.01393686
2,6000,0.01371715
3,0,0
3,3,0.00104133
3,6,0.0246588
3,9,0.1145839
3,12,0.2988803
3,15,0.5865304
3,18,0.974539
3,21,1.453308
3,24,2.010174
3,27,2.631575
3,30,3.304276
3,33,4.016014
3,36,4.755764
3,39,5.513808
3,42,6.281695
3,45,7.052137
3,48,7.818881
3,51,8.576598
3,54,9.320762
3,57,10.04754
3,60,10.75369
3,63,11.43648
3,66,12.09363
3,69,12.72323
3,72,13.3237
3,75,13.89377
3,78,14.43246
3,81,14.93904
3,84,15.41304
3,87,15.85425
3,90,16.2627
3,93,16.63864
3,96,16.98259
3,99,17.29525
3,102,17.57754
3,105,17.83055
3,108,18.05552
3,111,18.25383
3,114,18.42692
3,117,18.57632
3,120,18.7036
3,135,19.06203
3,150,19.08432
3,165,18.90592
3,180,18.61682
3,195,18.27301
3,210,17.90763
3,225,17.53887
3,240,17.17557
3,255,16.82104
3,270,16.47583
3,285,16.13939
3,300,15.81094
3,315,15.48982
3,330,15.17555
3,345,14.86779
3,360,14.56632
3,375,14.27098
3,390,13.98167
3,405,13.6983
3,420,13.42076
3,435,13.14899
3,450,12.88289
3,465,12.62239
3,480,12.36737
3,495,12.11777
3,510,11.87347
